track_genre,track_count,unique_tracks,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo,mean_popularity,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
breakbeat,999,999,0.6461431431431431,0.8534964964964965,-6.027938938938939,0.08574904904904905,0.03143344282282282,0.3953817345245245,0.22043703703703704,0.47506836836836835,133.0422002002002,20.13213213213213,45.04504504504504,0.6006006006006006,53.653653653653656,0.7007007007007007
british,1000,1000,0.5012758,0.50712697,-10.519963,0.05001,0.42794293226,0.19367906342000002,0.1742984,0.4397141,118.828617,43.802,30.2,11.200000000000001,19.0,39.6
cantopop,999,999,0.5479019019019019,0.46181001001001004,-9.661862862862861,0.039092892892892896,0.536023268868869,0.012630103423423423,0.19202242242242243,0.39339529529529527,124.26351151151152,34.753753753753756,15.115115115115115,9.50950950950951,21.62162162162162,53.753753753753756
chicago-house,998,998,0.7662404809619238,0.7329819639278556,-9.155609218436874,0.07423016032064128,0.035304152875751504,0.4837285043687375,0.13747695390781564,0.5867486973947895,123.90862825651303,12.33366733466934,59.519038076152306,6.4128256513026045,30.761523046092183,3.306613226452906
children,998,998,0.7164759519038076,0.4944550901803607,-9.41163126252505,0.0924698396793587,0.4983929342685371,0.060662173056112226,0.1816446893787575,0.6937879759519038,123.36938577154308,35.11723446893787,39.278557114228455,38.57715430861723,5.410821643286573,16.733466933867735
chill,999,999,0.6642072072072072,0.42639929929929926,-10.466774774774773,0.10221421421421421,0.5346082630630631,0.17820018134134133,0.16832332332332334,0.40354504504504507,115.48886486486487,53.7047047047047,14.814814814814813,17.71771771771772,16.516516516516518,50.95095095095095
classical,933,933,0.3819590568060021,0.19519268595927117,-19.968859592711684,0.05128124330117899,0.9165422813504823,0.6081003254662379,0.16630407288317256,0.3785024651661308,108.04733226152196,13.519828510182208,5.466237942122187,29.153269024651664,2.679528403001072,62.70096463022507
club,995,995,0.6037408040201004,0.7225736683417084,-6.884333668341709,0.09446120603015075,0.159495918080402,0.34916743716582915,0.19961417085427136,0.3685173869346734,123.30708643216082,33.37788944723618,27.537688442211056,2.613065326633166,57.8894472361809,11.959798994974873
comedy,996,996,0.5774036144578314,0.6998925702811245,-10.449451807228916,0.7557071285140562,0.7264268895582329,0.00052687781124498,0.662210843373494,0.4550085341365462,100.93387148594377,24.643574297188756,33.23293172690763,8.132530120481928,50.602409638554214,8.032128514056225
country,1000,1000,0.555294,0.5968052,-7.281778,0.042268,0.321226736,0.00558460603,0.1772382,0.5214813,123.963307,17.028,45.1,7.199999999999999,23.3,24.4
dance,965,965,0.6876549222797927,0.709820725388601,-5.333689119170985,0.0877901554404145,0.1311723356476684,0.00862560287046632,0.16806860103626944,0.5520967875647669,120.43601658031088,23.403108808290156,57.61658031088083,2.7979274611398965,35.129533678756474,4.455958549222798
dancehall,999,999,0.734082082082082,0.6852812812812813,-6.118947947947948,0.18703813813813813,0.21548705605605606,0.007141191751751752,0.1567861861861862,0.6290556556556557,112.89906806806806,33.472472472472475,68.46846846846847,6.006006006006006,21.72172172172172,3.8038038038038042
death-metal,999,999,0.36831821821821825,0.9314684684684685,-5.347288288288288,0.11132572572572573,0.006702405255255255,0.27596201756756755,0.24335495495495496,0.24773883883883882,123.76279679679679,32.17917917917918,7.007007007007007,0.0,91.8918918918919,1.1011011011011012
deep-house,998,998,0.7105180360721443,0.7417795591182366,-6.971884769539078,0.05990240480961924,0.10131355098196393,0.2372387895490982,0.17089639278557114,0.44747404809619235,120.88964629258517,44.78857715430862,39.879759519038075,1.7034068136272544,53.807615230460925,4.609218436873747
