country,track_count,unique_tracks,mean_popularity,mean_daily_rank,mean_valence,mean_energy,mean_danceability,pct_euphoric,pct_peaceful,pct_aggressive,pct_melancholic
NL,28915,857,77.9405153034757,25.499809787307626,0.5622543282033546,0.681007064845236,0.6750526370395988,58.329586719695655,5.021615078678886,27.871347051703268,8.777451149922186
NO,28964,1013,75.03438751553652,25.496478386963126,0.5287328545780969,0.6338749758320674,0.6333736017124706,52.16820881093771,5.63112829719652,26.232564562905676,15.968098328960089
NZ,28966,685,86.79948905613477,25.499792860595182,0.5297186183801699,0.6225824449354416,0.639397604087551,47.37278188220672,7.992128702616862,30.711869087896154,13.923220327280259
PA,29158,755,77.53978324987996,25.49742780711983,0.5469583267027917,0.659790137211057,0.7066208553398724,53.96117703546197,3.4330200974003704,36.737773509842924,5.8680293572947395
PE,29056,441,83.82784966960352,25.49824476872247,0.6006716199752203,0.6809412996007709,0.7359593130506609,63.147026431718054,2.0236784140969166,29.6289922907489,5.200302863436123
PH,29154,372,79.49643273650271,25.498696576799066,0.506471105165672,0.5571313679083488,0.6340268230774508,33.988474994854904,14.660080949440902,27.2964258763806,24.055018179323593
PK,29159,416,73.35289276038273,25.49586748516753,0.5061215405192222,0.5594003909599095,0.6678900168044172,35.32357076717309,11.865976199458144,29.06478274289242,23.745670290476355
PL,29164,1026,72.74053627760253,25.498422712933753,0.5090700761212454,0.6842804142092991,0.6745474214785352,46.81456590316829,2.249348511863942,44.26690440268825,6.669181182279522
PT,29159,807,75.8154943585171,25.498988305497445,0.5418063469254776,0.5947077986213519,0.6951815562947975,46.12983984361604,12.8776707020131,25.87537295517679,15.117116499194076
PY,28953,371,81.85728594618865,25.497081476876318,0.6040224498324871,0.6691892128967637,0.6982169377957379,63.0366455980382,4.507304942493006,27.092183884226163,5.3638655752426345
RO,29068,874,63.04785330948122,25.500791248107884,0.6081161621026558,0.72110568322554,0.7410161689830742,62.7115728636301,1.9402779689005092,31.560478877115727,3.7876702903536534
SA,28970,726,78.96727649292372,25.4986192613048,0.508566955471177,0.6547332240248533,0.6141826717293752,45.87159130134622,4.042112530203659,32.65792198826372,17.4283741801864
SE,29014,1042,72.79602950299855,25.49682911697801,0.5254289756669194,0.607747363341835,0.6258575170607293,49.42441579926932,6.02467774177983,26.718136072240988,17.832770386709864
SG,29111,818,84.82645735289066,25.500188932018826,0.5134792655697159,0.6314437944419635,0.641890934698224,45.23032530658514,2.8855071965923536,32.489436982583904,19.394730514238603
SK,29124,944,70.73544156022524,25.50322757862931,0.47727961818431536,0.6694108638923224,0.6929481527262739,39.520670237604726,4.092844389506936,46.889163576431805,9.49732179645653
SV,29162,574,84.46618887593444,25.501988889650917,0.5935154512722036,0.6813660242781702,0.7351808757972704,62.95521569165352,3.2268020026061315,27.220355256841096,6.597627048899253
TH,29161,521,71.64562257810088,25.496347861870305,0.5186086622543808,0.6432036967182195,0.6222899420458833,43.671341860704366,5.027262439559686,38.41774973423408,12.88364596550187
TR,29111,526,72.07124454673492,25.499879770533475,0.5395927415753495,0.6497156744873072,0.650284600322902,50.283398028236746,6.409948129573014,37.72800659544502,5.578647246745216
TW,29157,625,74.0427341633227,25.498199403230785,0.4941567719587063,0.6209081901430189,0.6338102685461467,41.430874232602804,3.8789998971087565,33.58027231882566,21.10985355146277
UA,28814,710,66.4347539390574,25.499618241132783,0.532763767612966,0.6542814985770806,0.7016015478586798,48.833900187408894,6.177552578607622,34.51794266675922,10.470604567224266
US,28819,1060,86.6890940004858,25.503521982025745,0.4939159533641001,0.6035993143412332,0.6348147159859815,41.836982546236854,6.259759186647698,33.24542836323259,18.657829903882856
UY,28403,424,76.3275006161321,25.494595641305494,0.6591123782699011,0.6833349350772805,0.7034549519416963,76.33348589937683,3.0736189839101504,16.769355349786995,3.823539766926029
VE,28263,769,81.39726851360436,25.496479496161058,0.5456099879701376,0.6672142844248664,0.7265039840073595,54.665109860948945,3.0251565651204753,36.42217740508792,5.887556168842656
VN,28406,451,67.95370696331761,25.494472998662253,0.48695497430120394,0.5499132718439766,0.6728260930789269,31.461663028937547,13.176793635147504,30.553404210378087,24.808139125536858
ZA,28932,909,67.34339140052538,25.50217751970137,0.5245632552191345,0.6192562802433292,0.7211113991428176,47.38697635835753,8.298769528549704,30.129268629890777,14.184985483201991
