,precision,recall,f1-score,support
german,0.7916666666666666,0.15702479338842976,0.2620689655172414,121.0
gospel,0.20967741935483872,0.2047244094488189,0.20717131474103587,127.0
goth,0.1276595744680851,0.038461538461538464,0.059113300492610835,156.0
grindcore,0.6062992125984252,0.7817258883248731,0.6829268292682927,197.0
groove,0.7142857142857143,0.04672897196261682,0.08771929824561403,107.0
grunge,0.24031007751937986,0.20945945945945946,0.22382671480144403,148.0
guitar,0.453781512605042,0.30857142857142855,0.3673469387755102,175.0
happy,0.41721854304635764,0.3987341772151899,0.4077669902912621,158.0
hard-rock,0.16666666666666666,0.013157894736842105,0.024390243902439025,76.0
hardcore,0.30612244897959184,0.22556390977443608,0.2597402597402597,133.0
hardstyle,0.4653846153846154,0.6759776536312849,0.55125284738041,179.0
heavy-metal,0.221875,0.36787564766839376,0.27680311890838205,193.0
hip-hop,0.5106382978723404,0.2222222222222222,0.3096774193548387,108.0
honky-tonk,0.3392857142857143,0.6785714285714286,0.4523809523809524,196.0
house,0.9333333333333333,0.3684210526315789,0.5283018867924528,38.0
idm,0.24571428571428572,0.21717171717171718,0.23056300268096513,198.0
indian,0.6129032258064516,0.18811881188118812,0.2878787878787879,101.0
indie,1.0,0.20833333333333334,0.3448275862068966,24.0
indie-pop,1.0,0.07692307692307693,0.14285714285714285,52.0
industrial,0.26811594202898553,0.22839506172839505,0.24666666666666667,162.0
iranian,0.4235294117647059,0.36363636363636365,0.391304347826087,198.0
j-dance,0.24535315985130113,0.4429530201342282,0.3157894736842105,149.0
j-idol,0.31044776119402984,0.5621621621621622,0.4,185.0
j-pop,1.0,0.07142857142857142,0.13333333333333333,70.0
j-rock,0.2,0.014492753623188406,0.02702702702702703,69.0
jazz,0.8923076923076924,0.6444444444444445,0.7483870967741936,90.0
k-pop,0.2803030303030303,0.23125,0.2534246575342466,160.0
kids,0.23890784982935154,0.36649214659685864,0.2892561983471074,191.0
latin,1.0,0.3695652173913043,0.5396825396825397,46.0
latino,1.0,0.06896551724137931,0.12903225806451613,29.0
malay,0.20218579234972678,0.18877551020408162,0.19525065963060687,196.0
mandopop,0.1863905325443787,0.3620689655172414,0.24609375,174.0
metal,0.0,0.0,0.0,30.0
metalcore,0.2583732057416268,0.38848920863309355,0.3103448275862069,139.0
minimal-techno,0.3684210526315789,0.4307692307692308,0.3971631205673759,130.0
mpb,0.15384615384615385,0.022222222222222223,0.038834951456310676,90.0
new-age,0.3888888888888889,0.56,0.45901639344262296,175.0
opera,0.36,0.48502994011976047,0.413265306122449,167.0
pagode,0.30275229357798167,0.5076923076923077,0.3793103448275862,130.0
party,0.2647058823529412,0.6036585365853658,0.3680297397769517,164.0
piano,0.5473684210526316,0.36879432624113473,0.4406779661016949,141.0
pop,0.9130434782608695,0.25609756097560976,0.4,82.0
pop-film,0.26262626262626265,0.2047244094488189,0.23008849557522124,127.0
power-pop,0.2043343653250774,0.3815028901734104,0.2661290322580645,173.0
progressive-house,0.2631578947368421,0.3333333333333333,0.29411764705882354,120.0
psych-rock,0.30434782608695654,0.06542056074766354,0.1076923076923077,107.0
punk,0.0,0.0,0.0,42.0
punk-rock,0.0,0.0,0.0,49.0
r-n-b,0.84,0.25609756097560976,0.3925233644859813,82.0
reggae,0.0,0.0,0.0,17.0
reggaeton,0.0,0.0,0.0,14.0
rock,0.9523809523809523,0.36363636363636365,0.5263157894736842,55.0
rock-n-roll,0.2222222222222222,0.13636363636363635,0.16901408450704225,132.0
rockabilly,0.4444444444444444,0.1875,0.26373626373626374,128.0
romance,0.41784037558685444,0.49171270718232046,0.4517766497461929,181.0
sad,0.2773109243697479,0.29464285714285715,0.2857142857142857,112.0
salsa,0.3526315789473684,0.6767676767676768,0.46366782006920415,198.0
samba,0.29245283018867924,0.24603174603174602,0.2672413793103448,126.0
sertanejo,0.32222222222222224,0.5272727272727272,0.4,165.0
show-tunes,0.2247191011235955,0.3333333333333333,0.2684563758389262,180.0
ska,0.1015625,0.09154929577464789,0.0962962962962963,142.0
sleep,0.7914691943127962,0.8391959798994975,0.8146341463414634,199.0
soul,0.9428571428571428,0.375,0.5365853658536586,88.0
spanish,0.2,0.06951871657754011,0.10317460317460317,187.0
study,0.47164948453608246,0.915,0.6224489795918368,200.0
swedish,0.7894736842105263,0.20408163265306123,0.32432432432432434,147.0
synth-pop,0.19626168224299065,0.25149700598802394,0.2204724409448819,167.0
tango,0.37681159420289856,0.65,0.47706422018348627,200.0
techno,0.45454545454545453,0.0641025641025641,0.11235955056179775,78.0
trance,0.43529411764705883,0.5211267605633803,0.47435897435897434,142.0
trip-hop,0.2193877551020408,0.23756906077348067,0.22811671087533156,181.0
turkish,0.10975609756097561,0.10344827586206896,0.10650887573964497,174.0
world-music,0.268370607028754,0.4540540540540541,0.3373493975903614,185.0
accuracy,0.34406698890326093,0.34406698890326093,0.34406698890326093,0.34406698890326093
macro avg,0.39675790578302106,0.29661415543300024,0.2942505445626037,14689.0
weighted avg,0.37447653154742827,0.34406698890326093,0.32153079255297384,14689.0
